N58.50282453,E33.2547859,06/11/2023 08:58:36,97.2,0,0,,,,,,,,,,
N58.502826379999995,E33.254801379999996,06/11/2023 08:58:37,109.4,0,0,,,,,,,,,,
N58.5027866,E33.2547899,06/11/2023 08:58:39,117.9,0.4,164.8,,,,,,,,,,
N58.502789199999995,E33.254786089999996,06/11/2023 08:58:40,121.2,0,0,,,,,,,,,,
N58.50278199,E33.25478447,06/11/2023 08:58:41,120.6,0,0,,,,,,,,,,
N58.50277913,E33.25478754,06/11/2023 08:58:42,121.2,0,0,,,,,,,,,,
N58.50277792,E33.25478404,06/11/2023 08:58:43,117.2,0,0,,,,,,,,,,
N58.50277839,E33.25478597,06/11/2023 08:58:44,116.7,0,0,,,,,,,,,,
N58.50278088,E33.25477965,06/11/2023 08:58:45,111.5,0,0,,,,,,,,,,
N58.502783369999996,E33.25477339,06/11/2023 08:58:46,105.4,0,0,,,,,,,,,,
N58.50278641,E33.25476994,06/11/2023 08:58:47,102.7,0,0,,,,,,,,,,
N58.502782939999996,E33.25476887,06/11/2023 08:58:48,101.1,0,0,,,,,,,,,,
N58.50278134999999,E33.25476735,06/11/2023 08:58:49,98.3,0,0,,,,,,,,,,
N58.5027815,E33.25476657,06/11/2023 08:58:50,97.8,0,0,,,,,,,,,,
N58.50278186,E33.2547659,06/11/2023 08:58:51,97.6,0,0,,,,,,,,,,
N58.5027819,E33.25476587,06/11/2023 08:58:52,97.6,0,0,,,,,,,,,,
N58.50278187,E33.25476587,06/11/2023 08:58:53,97.6,0,0,,,,,,,,,,
N58.50278161,E33.25476584,06/11/2023 08:58:54,97.1,0,0,,,,,,,,,,
N58.50278149,E33.254765819999996,06/11/2023 08:58:55,96.8,0,0,,,,,,,,,,
N58.502781459999994,E33.25476586,06/11/2023 08:58:56,95.7,0,0,,,,,,,,,,
N58.50278134999999,E33.25476585,06/11/2023 08:58:57,95.6,0,0,,,,,,,,,,
N58.50278125,E33.25476586,06/11/2023 08:58:58,95.6,0,0,,,,,,,,,,
